*Lat/Long are in WGS1984
*Approximate elevations (ft) were found using https://latlongdata.com/elevation/
*Name of well: Lat Long, Ground Level (ft)

A: 29.7128 -95.676578, 92
B: 29.77788 -95.686004, 99
C: 29.664082 -95.219818, 30
D: 29.700519 -95.069389, 28
E: 29.715931 -95.438271, 51
F: 29.724131 -95.492172, 64
G: 29.724932 -95.479958, 60
H: 29.745001 -95.558609, 74
I: 29.753984 -95.7418, 109
J: 29.759125 -95.537883, 76
K: 29.763786 -95.518723, 73
L: 29.766391 -95.713246, 105
M: 29.822605 -95.718169, 130
N: 29.859046 -95.611829, 113
